what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301346224590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346226812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346232857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301346244106
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346259096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301346287042
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346292175
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1301346296039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346298816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346300947
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346300966
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346302259
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1301346305268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301346308703
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346309296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346314740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346346371
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346346559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301346347784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301346348069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301346350342
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301346352831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346359457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346413732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346425268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346429167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346433009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301346438738
